net,sta,loc,ch,lat,lon,wZ,wN,wE
IA,DOCM,00,SH,-0.675868,119.74873,1.0,1.0,1.0
IA,DSRI,,SH,-0.4793,104.5778,1.0,1.0,1.0
IA,DSRI,,BH,-0.4793,104.5778,-1.0,-1.0,-1.0
IA,DYPI,00,SH,-4.8521,139.4991,-1.0,-1.0,-1.0
IA,EDFI,,SH,-8.7497,121.6903,-1.0,-1.0,-1.0
IA,EDMPI,,SH,-7.175,139.585,1.0,1.0,1.0
IA,EGSI,,SH,-5.3526,102.2767,0.5,1.0,0.4
IA,ELMPI,,SH,-7.489,140.789,1.0,1.0,1.0
IA,ERPI,,SH,-3.926867,136.380947,-1.0,-1.0,-1.0
IA,ESNI,,SH,-8.85,117.96,1.0,0.9,0.3
IA,FAKI,,SH,-2.9192,132.265,1.0,0.9,1.0
IA,FAKI,,BH,-2.9192,132.265,-1.0,-1.0,-1.0
IA,FKMPM,,SH,-8.2515,140.2666,1.0,1.0,1.0
IA,FKMPM,,BH,-8.2515,140.2666,-1.0,-1.0,-1.0
IA,FKSPI,,SH,-1.1594,132.016,1.0,1.0,1.0
IA,GARPI,,SH,-0.43465,129.9,1.0,1.0,1.0
IA,GBJI,,SH,-6.9485,109.966,1.0,0.8,0.5
IA,GBJI,,BH,-6.9485,109.966,-1.0,-1.0,-1.0
IA,GEBBI,,SH,-8.164,114.714,1.0,1.0,1.0
IA,GEJI,,SH,-8.41019,112.64507,0.8,0.9,0.3
IA,GEJI,,BH,-8.41019,112.64507,-1.0,-1.0,-1.0
IA,GENI,,SH,-2.59268,140.167757,1.0,0.9,0.9
IA,GESM,00,SH,4.8421,96.1278,-1.0,-1.0,-1.0
IA,GGJM,00,SH,-7.1717,111.2037,0.9,0.6,0.7
IA,GHMI,00,SH,-0.35629,127.8797,1.0,1.0,1.0
IA,GKJM,00,SH,-7.8411,110.5922,1.0,1.0,1.0
IA,GLMI,,SH,1.8381,127.7879,1.0,1.0,1.0
IA,GLMI,,BH,1.8381,127.7879,-1.0,-1.0,-1.0
IA,GMJI,00,SH,-8.2732,113.4441,0.4,1.0,1.0
IA,GPSM,00,SH,4.869343,96.090448,-1.0,-1.0,-1.0
IA,GRJI,,SH,-6.9145,112.4793,1.0,1.0,1.0
IA,GSI,,SH,1.3039,97.5755,1.0,1.0,1.0
IA,GSI,,BH,1.3039,97.5755,-1.0,-1.0,-1.0
IA,GTJI,,SH,-7.163845,110.183745,1.0,0.8,0.8
IA,GTJI,,BH,-7.163845,110.183745,-1.0,-1.0,-1.0
IA,GTOI,00,SH,0.7628,122.87,0.8,1.0,1.0
IA,GTSI,00,SH,-0.5981,101.4888,1.0,0.9,0.1
IA,GUJM,00,SH,-7.0544,110.666,0.7,0.6,0.7
IA,HINSI,,SH,-0.54,98.499,-1.0,-1.0,-1.0
IA,IATSM,,SH,4.92405,97.784545,1.0,1.0,1.0
IA,IATSM,,BH,4.92405,97.784545,-1.0,-1.0,-1.0
IA,IBTI,00,SH,-8.3894,123.2645,1.0,-1.0,-1.0
IA,IGBI,00,SH,-8.818,115.146,-1.0,-1.0,-1.0
IA,IHMI,00,SH,1.508213,127.555625,1.0,1.0,1.0
IA,IHRSI,,SH,0.02,103.17,-1.0,-1.0,-1.0
IA,IWPI,00,SH,-2.7581,134.5162,-1.0,-1.0,-1.0
IA,JAASI,,SH,3.766,96.82,0.3,0.3,0.3
IA,JAGI,,SH,-8.4703,114.152,1.0,1.0,1.0
IA,JAGI,,BH,-8.4703,114.152,-1.0,-1.0,-1.0
IA,JASI,,SH,-1.41453,101.45838,1.0,0.7,0.9
IA,JASI,,BH,-1.41453,101.45838,-1.0,-1.0,-1.0
IA,JAY,,SH,-2.5145,140.7043,-1.0,-1.0,-1.0
IA,JAY,,BH,-2.5145,140.7043,-1.0,-1.0,-1.0
IA,JBJI,,SH,-6.48374,106.46986,1.0,0.9,0.9
IA,JBJM,00,SH,-6.9729,111.4587,1.0,0.9,1.0
IA,JCJI,,SH,-6.7344,108.2631,1.0,1.0,1.0
IA,JHMI,00,SH,1.082067,127.47828,1.0,1.0,1.0
IA,JMBI,00,BH,-1.6764,103.576,-1.0,-1.0,-1.0
IA,JMSI,,SH,-2.63715,101.88745,1.0,0.8,0.9
IA,JPJI,,SH,-6.5307,107.4175,1.0,1.0,1.0
IA,JPJI,,BH,-6.5307,107.4175,-1.0,-1.0,-1.0
IA,JPSI,,SH,-1.34164,100.58645,1.0,0.3,1.0
IA,JPSI,,BH,-1.34164,100.58645,-1.0,-1.0,-1.0
IA,JSBFM,,SH,-8.8716567,116.8164717,1.0,1.0,1.0
